File Name,num_detection_circle,diameters,num_detection_square,wwtp_area_square
18123.png,4,[     47.129       44.92      46.097      46.195],7,[     7474.4      7537.2      1109.8      589.11      912.91      1780.2       15735]
18124.png,2,[     42.489      42.467],2,[     1580.5      1835.8]
18125.png,0,[],1,[     524.92]
18126.png,0,0,0,[0]
18127.png,4,[     23.574       24.85      23.574       24.85],3,[     544.89      544.89      999.92]
18128.png,0,0,0,[0]
18129.png,2,[     46.156      45.761],0,[]
18130.png,2,[     46.156      45.761],0,[]
18131.png,6,[     56.953      58.433      57.572      58.277      27.354      27.717],4,[      11704      854.43       21900      1011.3]
18132.png,1,[     25.428],1,[     1149.7]
18133.png,2,[     29.061      29.029],1,[     2695.9]
18134.png,0,0,0,[0]
18135.png,2,[     51.459       52.09],6,[     1928.5      1015.6      2242.3      5212.1      1142.6      487.84]
18136.png,0,[],5,[     2416.4       11570      6053.7      2941.3        4894]
18137.png,0,[],1,[     841.59]
18138.png,0,0,0,[0]
18139.png,4,[     29.248      30.524       23.69      23.881],1,[     1454.9]
18140.png,0,0,0,[0]
18141.png,4,[     25.782      26.784      20.483       20.17],1,[     500.67]
18142.png,13,[     55.712      56.102      56.005      55.745      55.712      56.921      55.794      56.953      63.597      63.225      63.182      63.282      25.676],3,[     920.04        3877       11932]
18143.png,5,[     37.974      37.974      40.542      30.672      17.416],2,[     969.97      1054.1]
18144.png,18,[     47.398      42.956      49.845      43.461      43.314      50.335      47.647      49.809      46.859       49.79      49.553      42.659      50.027      47.129      36.186      36.437      17.416      19.059],10,[     5490.3        5282      5005.3      5025.3       13736      1516.3       12959      690.39      1626.1      758.86]
18145.png,0,0,0,[0]
18146.png,2,[      47.78      45.661],1,[     910.06]
18147.png,2,[      34.12       33.88],4,[     3414.9      968.54      1643.2      897.22]
18148.png,4,[     38.896      39.773      39.773      39.082],5,[       2927        4469      2172.4      4237.9      2426.3]
18149.png,4,[     56.473      56.086      73.531      73.814],10,[     463.59      437.91        7232      1330.9      610.51      987.08      242.49      1775.9        1599      312.39]
18150.png,0,0,0,[0]
18151.png,1,[     60.344],0,[]
18153.png,1,[     21.688],8,[     9833.7      1925.7       15551      1072.7      1436.4       19867      5384.7      1094.1]
18154.png,3,[      40.25      33.285      38.708],3,[     814.49      1554.8        2733]
18155.png,2,[     43.544      43.794],7,[     3319.3      6587.2      3343.5      440.76       14003      435.06      2651.7]
18156.png,0,0,0,[0]
18157.png,4,[     48.572      48.215      48.758      48.102],0,[]
18158.png,1,[     22.389],0,[]
18159.png,4,[     56.264       55.81      55.989      54.759],6,[     8946.5      9046.4      797.37        1589      747.44      3521.8]
18160.png,2,[     15.306      15.187],4,[        853      256.76       399.4      871.54]
18161.png,0,0,0,[0]
18162.png,1,[     23.497],3,[     466.44       750.3      911.48]
18163.png,3,[     38.236      36.635      52.437],1,[     985.66]
18164.png,0,[],6,[     3728.7       14555      9147.6      3794.3      4123.8      4441.9]
18165.png,11,[     39.978      40.227      40.317       39.75      40.676      39.152      39.198      39.314      39.521      38.966      21.562],15,[     4625.9      1081.2       10247      4340.6      932.88      1904.3      9458.6      393.69      994.22      4423.3      283.86      1025.6      470.72      911.48      489.26]
18166.png,0,[],5,[     9074.9      1627.5      2984.1      624.77      3714.4]
18167.png,2,[     27.881       27.02],2,[     696.09      2419.2]
18168.png,3,[      39.36      38.942      20.438],7,[       2907      2928.4      467.87      1744.5      466.44      1239.6         950]
18169.png,10,[     52.472      51.564      51.193      52.125      51.793      51.264      50.658        49.9      21.008      20.527],3,[       2482      2580.4      2175.3]
18170.png,0,0,0,[0]
18171.png,0,0,0,[0]
18172.png,2,[     33.421      32.428],1,[     1922.8]
18173.png,0,0,0,[0]
18174.png,12,[     58.371      58.619      58.464      56.134       56.65      55.924      55.907      58.355       16.67      16.339        17.1      16.228],16,[     4113.8      854.43       13360      540.61      417.94      1012.8      4237.9      168.32      818.77      1295.2      299.55      1305.2      262.46      1650.4      303.83      118.39]
