File Name,num_detection_circle,diameters,num_detection_square,wwtp_area_square
12013.png,0,0,0,[0]
12014.png,0,[],1,[      11316]
12015.png,0,0,0,[0]
12016.png,0,[],1,[     1265.2]
12017.png,0,0,0,[0]
12018.png,8,[     18.429      19.059      19.201      18.429      18.819      17.777      18.429      19.106],2,[     660.43      430.78]
12019.png,0,[],1,[     2292.3]
12020.png,0,0,0,[0]
12021.png,5,[     54.875      54.526      56.247      55.907      52.765],1,[     2634.6]
12022.png,3,[     36.161       35.96      35.884],5,[       1736      2373.6      1362.2      1533.4      607.66]
12023.png,1,[     17.674],0,[]
12024.png,0,[],1,[     141.22]
12025.png,0,[],1,[       1726]
12026.png,0,0,0,[0]
12027.png,0,0,0,[0]
12028.png,0,[],4,[       5951      1929.9        4847      2908.5]
12029.png,0,[],1,[     1055.6]
12030.png,0,[],2,[     400.82      992.79]
12031.png,3,[     27.619      27.054      19.622],1,[     643.32]
12032.png,0,0,0,[0]
12033.png,0,[],4,[     1135.4      867.26      807.35       13320]
12034.png,0,[],2,[     1533.4      2186.7]
12035.png,2,[     30.849      16.339],1,[     3901.3]
12036.png,5,[     36.036      36.312      36.036      36.312      28.075],0,[]
12037.png,0,[],4,[     5764.2      4219.4      734.61      2581.8]
12038.png,0,[],2,[     5728.5        5128]
12039.png,0,0,0,[0]
12040.png,0,0,0,[0]
12041.png,6,[     14.262      17.363      17.416      14.515      18.576      16.172],2,[      982.8      597.67]
12042.png,0,0,0,[0]
12043.png,0,0,0,[0]
12044.png,10,[     68.439      68.479      68.598      69.414       68.73       67.14      66.719      71.451      70.259      57.729],10,[      19412       19456      4734.3      4143.8      763.14      2564.7      1412.2      4143.8      763.14      1412.2]
12045.png,0,[],4,[       1415      496.39      1643.2      2419.2]
12046.png,18,[     34.385      32.259      32.484      33.772      19.761       18.28      17.311      18.527      22.267      22.671      22.429      19.852      22.591      22.429      19.761       18.28      17.311      18.527],5,[     1614.7      282.43       205.4      238.21      213.96]
12047.png,0,0,0,[0]
12048.png,0,0,0,[0]
12049.png,0,0,0,[0]
12050.png,0,[],4,[     1159.7      1550.5      462.16      848.72]
12051.png,4,[     35.808      36.111      36.882      34.332],3,[      728.9       13654      315.24]
12052.png,0,0,0,[0]
12053.png,0,0,0,[0]
12054.png,0,0,0,[0]
12055.png,0,0,0,[0]
12056.png,0,[],2,[     1139.7      316.67]
12057.png,0,0,0,[0]
12058.png,0,[],1,[     1004.2]
12059.png,0,[],3,[     499.25      810.21       12635]
12060.png,0,[],3,[     924.32      2403.5      2366.4]
12061.png,0,0,0,[0]
12062.png,9,[     15.007      17.623      17.828      17.879      17.777      18.231       18.03      18.867      17.571],3,[     854.43      1126.9      193.99]
12063.png,4,[     29.123      33.772      30.255      31.548],1,[     3076.8]
12064.png,0,0,0,[0]
12065.png,3,[     36.337      36.784      37.469],1,[     2400.7]
12066.png,0,0,0,[0]
12067.png,0,0,0,[0]
12068.png,5,[     27.978      27.088      28.493      28.333      27.684],1,[     654.73]
12069.png,0,[],8,[     5032.4       323.8      788.81      2891.4      1620.4       15300      1514.9      335.21]
12070.png,1,[     13.875],6,[     2379.3      4426.2      526.35      318.09      223.95      522.07]
12071.png,0,0,0,[0]
12072.png,0,[],1,[     1306.6]
12073.png,0,[],1,[     2256.6]
12074.png,0,0,0,[0]
12076.png,0,0,0,[0]
12077.png,9,[      40.81      41.625      40.001      41.318      40.631      39.978      38.849      38.379      19.154],3,[     1516.3      698.95      698.95]
12078.png,0,[],1,[     539.19]
12079.png,0,[],1,[     5284.9]
12080.png,0,0,0,[0]
12081.png,8,[     48.045      47.072      47.704      47.513      35.477      39.475       37.95      38.708],8,[     4260.7      2971.2      1352.2      1202.5      1335.1      2932.7      677.55      3332.1]
12082.png,0,0,0,[0]
12083.png,0,0,0,[0]
12084.png,8,[     47.398      49.166      52.299      47.894       48.87      46.333      52.489      48.347],4,[     1429.3        2375      2433.5      4009.7]
12085.png,0,0,0,[0]
12086.png,0,[],4,[     1236.7       16976      162.61       16822]
12087.png,1,[     11.593],4,[      17311      4210.8      5610.1       12521]
12088.png,0,0,0,[0]
12089.png,19,[     67.504      50.926      49.845      50.045      50.479      66.624       66.46       52.09      50.909      68.479      50.009      51.299      51.985      50.118      28.524      28.935      61.122       24.07      36.685],13,[     994.22      1604.7      1239.6      1657.5      2065.5      1975.6        2753      3416.3      373.72      476.42      3276.5      5443.2      614.79]
12090.png,3,[     57.033      14.198      11.514],2,[      15786       15338]
