File Name,num_detection_circle,diameters,num_detection_square,wwtp_area_square
5686.png,0,0,0,[0]
5687.png,0,0,0,[0]
5688.png,0,[],1,[     820.19]
5689.png,0,0,0,[0]
5690.png,4,[     51.423      44.165      46.431      47.206],3,[     2373.6      1584.8      1798.7]
5691.png,0,0,0,[0]
5692.png,2,[     16.505      16.116],2,[     5851.2      506.38]
5693.png,7,[     30.494      30.761      31.404      31.834      31.142      31.663      30.937],2,[     6159.3      1118.3]
5694.png,0,[],1,[     965.69]
5695.png,0,[],1,[     1902.8]
5696.png,0,[],1,[     1902.8]
5697.png,0,0,0,[0]
5698.png,0,[],2,[       1348       604.8]
5699.png,0,[],1,[      982.8]
5700.png,1,[     19.295],2,[     780.25      567.72]
5701.png,1,[      20.17],4,[     2069.7      974.25      788.81      318.09]
5702.png,7,[     46.156      45.681      28.237      28.172      27.321      27.913      25.747],5,[     4106.7      1850.1      245.34      726.05      803.07]
5703.png,6,[     35.681        35.4      24.183      35.681        35.4      24.183],5,[     972.82      971.39      1266.7      228.23      228.23]
5704.png,1,[      18.38],1,[     1467.8]
5705.png,1,[      18.38],1,[     1467.8]
5706.png,0,0,0,[0]
5707.png,0,0,0,[0]
5708.png,0,0,0,[0]
5709.png,4,[     36.461      38.331      18.429      23.956],3,[     1524.8      9745.3      660.43]
5710.png,6,[     71.705      68.638       71.26      68.638      71.705       71.26],9,[     1132.6        1308      185.43      1663.2       12203       12203      1132.6        1308      1663.2]
5711.png,6,[     71.844      71.082      71.489      71.844      71.082      71.489],8,[     1069.8      8461.5      1299.5      1139.7      8461.5      1069.8      1299.5      1139.7]
5712.png,2,[     61.875      62.168],0,[]
5713.png,5,[     50.353      50.425      18.771      18.576      19.059],1,[     3263.7]
5714.png,1,[     24.959],0,[]
5715.png,5,[     50.353      50.244      19.342       18.38      19.852],2,[     5220.7      7883.8]
5716.png,5,[     50.353      50.244      19.342       18.38      19.852],2,[     5220.7      7883.8]
5717.png,0,0,0,[0]
5718.png,0,0,0,[0]
5719.png,0,0,0,[0]
5720.png,4,[     42.914      33.475      42.914      33.475],0,[]
5721.png,7,[     31.432      31.948      31.777      31.432      30.967      29.832      30.672],4,[     848.72       631.9      1656.1      1533.4]
5722.png,0,0,0,[0]
5723.png,4,[     45.141      45.622      36.536      29.587],4,[     3190.9      5627.2      1559.1      951.42]
5724.png,2,[     58.386      58.355],5,[     5273.5        1134      332.36      125.53      109.83]
5725.png,2,[     58.448      58.371],4,[     5477.5      1156.8      308.11      349.47]
5726.png,3,[     21.223      21.223       16.94],3,[     1654.6      740.31      139.79]
5727.png,0,0,0,[0]
5728.png,0,[],2,[     379.43      141.22]
5729.png,0,0,0,[0]
5730.png,4,[     25.068       28.01      27.978       24.07],0,[]
5731.png,0,0,0,[0]
5732.png,6,[     59.143      60.043      40.921      62.153      40.631      15.831],6,[     1527.7      166.89        2927      1747.4      1222.4      2280.8]
5733.png,0,0,0,[0]
5734.png,0,0,0,[0]
5735.png,2,[      30.79      31.142],4,[       1736      2817.2      202.55      259.61]
5736.png,0,0,0,[0]
5737.png,0,0,0,[0]
5738.png,0,0,0,[0]
5739.png,2,[     22.348      22.591],6,[     3631.7      560.58        1967       253.9      209.68      4159.4]
5740.png,2,[     29.216      27.652],2,[     784.53        1619]
