File Name,num_detection_circle,diameters,num_detection_square,wwtp_area_square
6000.png,0,[],2,[     290.99      1299.5]
6001.png,2,[      66.46      20.747],0,[]
6002.png,5,[     26.236      24.995      25.068      25.212       24.74],3,[     761.71      1737.4      520.64]
6003.png,0,[],4,[      22818      1921.4      813.06      1369.4]
6004.png,3,[     68.253      63.354      23.029],6,[     3076.8        1308      7946.6      328.08      637.61      146.92]
6005.png,2,[     26.953      26.028],1,[     1422.1]
6006.png,3,[     60.734      60.973      23.147],3,[      10022      2235.2        3519]
6007.png,2,[     22.791       22.47],3,[     542.04      219.67      215.39]
6008.png,4,[     41.929      42.081      34.438      41.734],2,[       1696      156.91]
6009.png,8,[     65.677      66.035      65.966      53.889      48.215      48.851      48.889      48.215],0,[]
6010.png,0,[],2,[       1880      764.56]
6011.png,2,[     19.622      19.106],0,[]
6012.png,0,[],1,[     1656.1]
6013.png,0,0,0,[0]
6014.png,0,0,0,[0]
6015.png,7,[     53.006      53.856      52.662      54.393      23.956       23.69      23.497],5,[     5196.5      663.29      844.44      571.99      472.15]
6016.png,2,[     40.204      39.152],2,[     2848.6      785.96]
6017.png,0,0,0,[0]
6018.png,4,[     29.953      46.606      41.054      29.556],5,[     3297.9      640.46      1885.7      3163.8      3541.8]
6019.png,5,[     45.602      46.136      46.195       37.42      37.902],3,[     5734.2        1676      1099.8]
6020.png,0,0,0,[0]
6021.png,0,[],1,[     6182.1]
6022.png,1,[     33.933],2,[     295.27      1146.8]
6023.png,2,[     25.605       25.57],2,[     3459.1      1302.3]
6024.png,0,0,0,[0]
6025.png,0,0,0,[0]
6026.png,0,[],2,[     486.41      1750.2]
6027.png,5,[     24.886      25.534      27.815      31.948      30.255],1,[     771.69]
6028.png,2,[     16.003      15.247],0,[]
6029.png,1,[     43.293],11,[     4170.9      6320.5      3787.1      5333.4      2065.5      3210.9      3451.9        5884       15315       20603      945.72]
6030.png,0,0,0,[0]
6031.png,1,[      16.67],2,[     717.49      246.77]
6032.png,2,[     40.159       21.52],0,[]
6033.png,0,[],2,[     336.64      1008.5]
6034.png,4,[     41.274      40.182      41.668      42.956],4,[     2764.4      1627.5      748.87      1721.7]
6035.png,5,[     79.933      51.582      52.038      52.073      52.125],5,[       3101       17238        1532      1075.5      7303.3]
6036.png,0,[],4,[     339.49      345.19      1566.2      188.29]
6037.png,0,[],2,[       4081        2937]
6038.png,4,[     29.679      29.464      16.172      15.127],2,[     1215.3        3218]
6039.png,2,[     65.911      72.059],1,[     420.79]
6040.png,0,[],1,[     1939.9]
6041.png,0,[],2,[     2824.3      1253.8]
6042.png,8,[     48.083      54.024      48.253      39.175      45.262      37.878      45.141      34.883],0,[]
6043.png,0,[],3,[     964.26      2556.1      2521.9]
6044.png,2,[     56.134      61.463],0,[]
6045.png,8,[     61.448      62.168      61.344      62.517      31.288      34.279      31.663      35.246],3,[     1205.3       18642      4473.3]
6046.png,0,0,0,[0]
6047.png,2,[     35.374      17.416],1,[      172.6]
6048.png,2,[     37.806      38.236],5,[      631.9      2551.9      603.38      1219.6       453.6]
6049.png,1,[     18.963],4,[     737.46      196.85      857.28      2360.7]
6050.png,1,[     18.963],4,[     737.46      196.85      857.28      2360.7]
6051.png,0,0,0,[0]
6052.png,0,[],3,[     219.67        1706      697.52]
6053.png,0,0,0,[0]
6054.png,5,[     18.963      19.059      60.555       36.71      37.274],3,[      178.3        2054      6916.7]
6055.png,4,[       34.7      34.226      36.086      46.548],4,[     2250.9        6476        2492       226.8]
6056.png,2,[     39.429      41.384],2,[     8104.9      1068.4]
6057.png,1,[     18.915],2,[     395.12      395.12]
6058.png,2,[     51.282      28.683],2,[     3297.9      1422.1]
6059.png,0,[],2,[     7077.9      2527.6]
6060.png,2,[     21.137      21.772],1,[     1765.9]
6061.png,0,[],3,[     427.93      410.81      286.71]
6062.png,2,[     28.493      28.493],10,[     506.38      3159.5      286.71      1064.1      671.84      506.38      3159.5      286.71      1064.1      671.84]
6063.png,0,[],1,[     1242.4]
6064.png,1,[      32.09],0,[]
6065.png,1,[     41.668],0,[]
6066.png,3,[     28.715      28.493      26.818],5,[     713.21      4013.9      864.41      698.95      557.73]
6067.png,3,[     30.672      31.171      30.195],3,[     1657.5      830.18      516.36]
6068.png,2,[     33.394      32.651],2,[     4420.5      1593.3]
6069.png,0,[],1,[     125.53]
6070.png,0,[],1,[     125.53]
6071.png,0,0,0,[0]
6072.png,4,[     38.919      38.355      33.745       33.88],3,[     6478.8      1032.7      1265.2]
6073.png,0,0,0,[0]
6074.png,0,[],3,[     2621.8       955.7      1262.4]
6075.png,4,[     40.159      39.864      52.679      50.962],0,[]
6076.png,7,[     57.208      57.081      33.366      33.906      34.093      29.185      17.363],8,[     2563.3      462.16      619.07      862.98      1513.4      269.59       599.1      396.54]
6077.png,0,[],11,[     984.23        2676      2637.5      765.99      403.68        1211      318.09      2091.1      862.98      654.73      420.79]
6078.png,0,[],4,[     3213.7      2797.2      393.69      166.89]
6079.png,3,[     29.892      35.374      30.134],2,[     2208.1      2399.2]
6080.png,0,[],4,[      12264       27062       25012      1196.8]
6081.png,0,0,0,[0]
6082.png,0,[],2,[     293.84      5227.8]
6083.png,4,[     40.182      27.586      28.075      18.915],4,[     1559.1      1106.9      1606.1      1590.5]
6084.png,5,[     65.093      62.648      36.586      35.732      37.662],4,[     3453.4      4647.3       151.2       253.9]
6085.png,2,[     55.352      54.342],3,[     8173.4      4789.9      2537.6]
6086.png,6,[     38.779      45.622      39.012      44.473      33.826      33.583],1,[     5080.9]
6087.png,0,0,0,[0]
6088.png,6,[     38.872      36.387      23.225      23.342      22.185      23.068],0,[]
6089.png,0,[],1,[     583.41]
6090.png,2,[     32.568      32.707],2,[     2503.4      2530.5]
6091.png,0,[],2,[     1449.2       20583]
6092.png,0,[],1,[     1760.2]
6093.png,0,0,0,[0]
6094.png,4,[     18.771      19.761      19.011      16.724],4,[     4213.6      3640.2      905.78      387.99]
6095.png,3,[     24.995       24.85      25.068],1,[     1182.5]
6096.png,19,[     70.479      71.171      70.556      70.233      70.697      70.813       70.22      70.466       70.13      70.401       70.22      70.749      46.606      39.704      94.567      93.795      18.131      20.791      19.483],1,[     292.42]
6097.png,0,[],2,[      13936       10727]
6098.png,2,[     31.055      30.908],0,[]
6099.png,3,[     37.662      38.708      34.596],2,[     1971.3      1044.1]
6100.png,2,[     19.342      19.106],2,[     998.49      995.64]
6101.png,3,[     48.628      34.517      22.831],3,[     7528.6      1215.3       707.5]
6102.png,3,[     48.628      34.517      22.831],3,[     7528.6      1215.3       707.5]
6103.png,0,0,0,[0]
6104.png,1,[     90.774],0,[]
6105.png,1,[     91.303],0,[]
6106.png,3,[     81.408      83.282      80.217],6,[     5535.9      1536.3       12913       12524      9330.2      8157.7]
6107.png,0,[],2,[     1484.9      1912.8]
6108.png,3,[     33.175      33.475      38.615],2,[     1236.7      821.62]
6109.png,3,[     30.375       30.79      37.998],1,[     8430.1]
6110.png,2,[     26.512      26.784],1,[     4363.4]
6111.png,2,[     78.338      80.228],4,[     753.15        3703      88.438      92.717]
6112.png,2,[     28.715      28.204],3,[     537.76      2889.9      6370.4]
6113.png,0,0,0,[0]
6114.png,4,[     44.513      44.899      17.726      17.206],2,[     3938.3      6351.9]
6115.png,0,[],1,[     5741.3]
6116.png,1,[     16.886],2,[     1306.6         281]
6117.png,0,[],2,[     2728.7      2728.7]
6118.png,5,[     66.364      49.461      43.523      66.937      43.565],5,[     2088.3      2848.6        4178      757.43      5022.4]
6119.png,0,[],2,[     1382.2      1713.1]
6120.png,2,[     15.658      15.542],2,[     1293.8         378]
6121.png,0,0,0,[0]
6122.png,3,[     28.588      20.125      28.204],1,[     1463.5]
6123.png,2,[     25.993      24.258],2,[     1417.9        1027]
6124.png,2,[     25.993      24.258],2,[     1417.9        1027]
6125.png,5,[      81.05       80.51      65.233      72.008      37.128],3,[      12252      703.23      934.31]
6126.png,0,[],2,[     1375.1      948.57]
6127.png,1,[     19.059],2,[     2149.6      2255.2]
6128.png,4,[     36.287      36.337      20.349      25.605],5,[     2570.4      1183.9      616.21      239.64      546.32]
6129.png,2,[     16.116       16.67],4,[     3407.7      246.77      5728.5      2788.7]
6130.png,6,[     31.891      28.075       30.82      30.702      16.339      28.493],1,[     687.53]
6131.png,1,[     14.515],1,[     1365.1]
6132.png,1,[     32.623],4,[     206.83      569.14      2041.2      900.07]
6133.png,6,[     66.487       65.76      71.705      73.085      40.654      40.204],1,[     479.28]
6134.png,1,[     22.185],0,[]
6135.png,1,[     27.487],2,[     2480.5      2571.8]
6136.png,4,[     37.638      38.591      24.333      24.703],0,[]
6137.png,2,[     57.761      58.168],4,[     8765.4      803.07      309.53      526.35]
6138.png,4,[     27.321      23.842      31.577      23.728],2,[     1824.4      1844.4]
6139.png,4,[     27.221      31.548      24.032      23.651],3,[       1813      1707.4      376.58]
6140.png,0,[],3,[     335.21      597.67      1627.5]
6141.png,0,0,0,[0]
