Identification de l'installation/ Facility Identification,Nom du propriétaire/ Owner Name,Nom du système / System Name,Ville/ City,Province (Anglais)/ Province (English),Province (Français) / Province (French),Code postal/ Postal Code,Type de propriétaire (Anglais) / Owner Type (English),Type de propriétaire (Français)/ Owner Type (French),Type d'exploitant (Anglais)/ Operator Type (English),Type d'exploitant  (Français) / Operator Type (French),Volume journalier moyen de l'effluent (m3) / Average Daily Effluent Volume (m3),Méthode de calcul (Anglais) / Method of Calculation (English),Méthode de calcul  (Français)/ Method of Calculation (French),Description de la méthode de calcul/ Description of Calculation Method ,Indicateur - Utilisation de chlore (Anglais)/ Chlorine Use Indicator (English),Indicateur - Utilisation de chlore (Français) / Chlorine Use Indicator (French),Type du système (Anglais)/ System Type (English),Type du système (Français)/ System Type (French),Types de traitement (Anglais)/ Treatment Types (English),Types de traitement (Français)/ Treatment Types (French),Description des autres traitements / Other Treatment Description,Description du lieu de rejet (Anglais) / Discharge Place Description (English),Description du lieu de rejet (Français) / Discharge Place Description (French),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Anglais)/ Is the hydraulic retention time 5 days or more? (English),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Français) / Is the hydraulic retention time 5 days or more? (French),Fréquence de reportage (Anglais)/ Reporting Frequency (English),Fréquence de reportage (Français) / Reporting Frequency (French),Périodes decalcul (Anglais)/ Averaging Period (English),Périodes de calcul (Français) / Averaging Period (French),Latitude/ Latitude,Longitude/ Longitude,Statut de Vérification du point (Anglais)/ Verification status of the point (English),Statut de Vérification du point (Français)/ Verification status of the point (French),Type de point (Anglais)/ Type of Point (English),Type de point (Français) / Type of Point (French),Nom de la masse d'eau fréquentée par les poissons/ Name of body of water frequented by fish,Nom de la masse d'eau au point d'entrée/ Name of the water at point of entry, Description de l'utilisation de l'eau (Anglais)/ Description of use of water (English),Description de l'utilisation de l'eau (Français)/ Description of use of water (French),Description des eaux fréquentées par les poisons (Anglais) / Description of water frequented by fish (English),Description des eaux fréquentées par les poisons (Français)/ Description of water frequented by fish (French),État du système (Anglais)/ System status (English),État du système (Français)/ System status (French)
26125,ville de saint-félicien,Étangs eaux usées St-Félicien,Saint-Félicien,Quebec,Québec,G8K 2R5,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,6500,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Lagoon Aerated, Biological Phosphorus Removal, Chemical Precipitation Phosphorus","Dessablage, Dégrillage, Étangs Aérée,Élimination biologique du phosphore, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Quarterly,Trimestriel,Quarterly,Trimestriel,48.6398,-72.4357,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
26126,ville de saint-félicien,Étangs eaux usées St-Méthode,Saint-Félicien,Quebec,Québec,G8K 2R5,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,110,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Continuous,Continu,Lagoon Aerated,Étangs Aérée,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,48.7334,-72.3998,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
25852,Ville de Saint-Georges-de-Beauce,Saint-Jean-de-la-Lande,St-Jean-de-la-Lande,Quebec,Québec,G5Z0K9,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,175,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Chemical Flocculation, Lagoon Aerated, Chemical Precipitation Phosphorus, Other Treatment Type","Floculation chimique, Étangs Aérée, Précipitation chimique (phosphore), Autres types de traitement",Étang de décantation,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,46.0559,-70.5412,Estimated,Estimé,Final Discharge Point,Point de rejet final,,,Other,Autre,Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
9189,Ville de Saint-Georges-de-Beauce,Usine d'épuration,Saint-Georges-de-Beauce,Quebec,Québec,G5Y5C3,Municipal or another local authority,Municipalité ou une autre autorité locale,Other,Autre,16498,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Continuous,Continu,"Grit Removal, Screening, Storage Ponds, Sequencing Batch Reactor, Biological Nitrogen Removal Nitrification And Denitrification, Biological Phosphorus Removal, Biological Nutrient Removal Nitrogen And Phosphorus, Chemical Precipitation Phosphorus, Polishing Ponds, Other Treatment Type, Disinfection","Dessablage, Dégrillage, Bassins de stockage, Réacteur séquentiel discontinu,Élimination biologique de l'azote – Nitrification et dénitrification, Élimination biologique du phosphore,Élimination biologique des nutriments nutritifs (azote et phosphore), Précipitation chimique (phosphore), Polishing Ponds, Autres types de traitement, Désinfection","Précisions: Réacteurs biologiques séquentiels en continu, Étang de polissage entre l'usine et la rivière et la désinfection avec des lumières uV. Autres: Digesteurs aérobiques et anaérobiques et Désydratation des boues par centrifugeuse.",Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,46.1276,-70.695,Verified,Vérifié,Final Discharge Point,Point de rejet final,,Rivière Chaudière,Other recreational (e.g. boating),Autre contact récréatif (bateau),Other,Autre,operational,opérationnel
23983,Ville de Saint-Jean-sur-Richelieu,Étangs aérés Acadie,Saint-Jean-sur-Richelieu,Quebec,Québec,J2Y1G9,Municipal or another local authority,Municipalité ou une autre autorité locale,Other,Autre,373,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Lagoon Aerated, Chemical Precipitation Phosphorus","Étangs Aérée, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,45.3752,-73.3781,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
19362,Ville de Saint-Jean-sur-Richelieu,Station d'épuration des eaux usées,Saint-Jean-sur-Richelieu,Quebec,Québec,J2W2S7,Municipal or another local authority,Municipalité ou une autre autorité locale,Other,Autre,61590,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Storage Ponds, Filtration, Disinfection","Dessablage, Dégrillage, Floculation chimique, Bassins de stockage, Filtration, Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,45.3791,-73.2799,Estimated,Estimé,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
24333,Ville de Saint-Jerome,STATION D'ÉPURATION DES EAUX USÉES,Saint-Jerome,Quebec,Québec,J0R1A0,Municipal or another local authority,Municipalité ou une autre autorité locale,Other,Autre,46661.2,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Lagoon Aerated, Chemical Precipitation Phosphorus","Dégrillage, Étangs Aérée, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Quarterly,Trimestriel,Monthly,Mensuel,45.751,-74.0067,Verified,Vérifié,Final Discharge Point,Point de rejet final,rivière du Nord,,Other recreational (e.g. boating),Autre contact récréatif (bateau),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
26272,Ville de Saint-Lin-Laurentides,Station d'épuration des eaux usées,Saint-Lin-Laurentides,Quebec,Québec,J5M 2W2,Municipal or another local authority,Municipalité ou une autre autorité locale,Other,Autre,3290,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Lagoon Aerated, Chemical Precipitation Phosphorus","Dessablage, Dégrillage, Étangs Aérée, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Quarterly,Trimestriel,Quarterly,Trimestriel,45.8443,-73.7547,Verified,Vérifié,Final Discharge Point,Point de rejet final,Rivière de l'Achigan,Rivière de l'Achigan,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
25681,Ville de Saint-Marc-des-Carrières,Ville de Saint-Marc - Étangs aérés,Saint-Marc-des-Carrières,Quebec,Québec,G0A4B0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,1476,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,mesure en continu des débits d'affluents via le temps de pompage des postes principaux en amont des étangs et recevant 100% des eaux usées,No,Non,Continuous,Continu,Lagoon Aerated,Étangs Aérée,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,46.6762,-72.0563,Estimated,Estimé,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
25701,Ville de Saint-Ours,étang aéré,Saint-Ours,Quebec,Québec,J0G1P0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,800,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Chemical Flocculation, Lagoon Aerated, Chemical Precipitation Phosphorus","Dégrillage, Floculation chimique, Étangs Aérée, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,45.9099,-73.136,Estimated,Estimé,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
