WASTE_ID,LAT_WWTP,LON_WWTP,POP_SERVED,geometry
39952,-22.249,-54.82,34426,"POLYGON ((-54.73016847158804 -22.33211860881529, -54.73016847158804 -22.165832033934684, -54.90983152841194 -22.165832033934684, -54.90983152841194 -22.33211860881529, -54.73016847158804 -22.33211860881529))"
39954,-22.175,-54.694,419,"POLYGON ((-54.604168471588046 -22.25816253378558, -54.604168471588046 -22.091788238876955, -54.78383152841195 -22.091788238876955, -54.78383152841195 -22.25816253378558, -54.604168471588046 -22.25816253378558))"
39962,-21.465,-56.177,278,"POLYGON ((-56.087168471588036 -21.54857692110287, -56.087168471588036 -21.38137511458502, -56.26683152841195 -21.38137511458502, -56.26683152841195 -21.54857692110287, -56.087168471588036 -21.54857692110287))"
39972,-23.065,-54.224,9986,"POLYGON ((-54.13416847158804 -23.147625077683088, -54.13416847158804 -22.982324154546244, -54.313831528411946 -22.982324154546244, -54.313831528411946 -23.147625077683088, -54.13416847158804 -23.147625077683088))"
39977,-23.87,-55.43,3645,"POLYGON ((-55.34016847158804 -23.95212179291023, -55.34016847158804 -23.787826088165165, -55.51983152841195 -23.787826088165165, -55.51983152841195 -23.95212179291023, -55.34016847158804 -23.95212179291023))"
39980,-22.502,-55.7,13040,"POLYGON ((-55.61016847158805 -22.584967386938633, -55.61016847158805 -22.418982814143824, -55.78983152841195 -22.418982814143824, -55.78983152841195 -22.584967386938633, -55.61016847158805 -22.584967386938633))"
39989,-19.384,-54.566,9401,"POLYGON ((-54.47616847158805 -19.468717387291736, -54.47616847158805 -19.299238517058676, -54.65583152841195 -19.299238517058676, -54.65583152841195 -19.468717387291736, -54.47616847158805 -19.468717387291736))"
39996,-15.888,-52.233,27692,"POLYGON ((-52.14316847158805 -15.974381272188902, -52.14316847158805 -15.80158164392904, -52.322831528411946 -15.80158164392904, -52.322831528411946 -15.974381272188902, -52.14316847158805 -15.974381272188902))"
40004,-15.627,-56.004,11167,"POLYGON ((-55.914168471588034 -15.713492673168814, -55.914168471588034 -15.540470789898466, -56.09383152841195 -15.540470789898466, -56.09383152841195 -15.713492673168814, -55.914168471588034 -15.713492673168814))"
40006,-15.563,-56.097,744,"POLYGON ((-56.007168471588045 -15.64951971613663, -56.007168471588045 -15.476443881513223, -56.18683152841195 -15.476443881513223, -56.18683152841195 -15.64951971613663, -56.007168471588045 -15.64951971613663))"
40025,-15.645,-56.061,372,"POLYGON ((-55.97116847158805 -15.731485047900767, -55.97116847158805 -15.558478377347978, -56.15083152841195 -15.558478377347978, -56.15083152841195 -15.731485047900767, -55.97116847158805 -15.731485047900767))"
40026,-15.645,-56.061,372,"POLYGON ((-55.97116847158805 -15.731485047900767, -55.97116847158805 -15.558478377347978, -56.15083152841195 -15.558478377347978, -56.15083152841195 -15.731485047900767, -55.97116847158805 -15.731485047900767))"
40028,-15.579,-56.13,283,"POLYGON ((-56.040168471588046 -15.665512965507427, -56.040168471588046 -15.492450598479723, -56.21983152841195 -15.492450598479723, -56.21983152841195 -15.665512965507427, -56.040168471588046 -15.665512965507427))"
40044,-15.563,-56.097,124,"POLYGON ((-56.007168471588045 -15.64951971613663, -56.007168471588045 -15.476443881513223, -56.18683152841195 -15.476443881513223, -56.18683152841195 -15.64951971613663, -56.007168471588045 -15.64951971613663))"
40050,-15.561,-56.096,95,"POLYGON ((-56.00616847158805 -15.647520559491195, -56.00616847158805 -15.474443042367303, -56.185831528411946 -15.474443042367303, -56.185831528411946 -15.647520559491195, -56.00616847158805 -15.647520559491195))"
40052,-15.644,-56.058,48,"POLYGON ((-55.968168471588044 -15.730485471750564, -55.968168471588044 -15.557477955598829, -56.14783152841195 -15.557477955598829, -56.14783152841195 -15.730485471750564, -55.968168471588044 -15.730485471750564))"
40055,-15.221,-59.335,27383,"POLYGON ((-59.24516847158805 -15.30766239757394, -59.24516847158805 -15.134301922314485, -59.42483152841195 -15.134301922314485, -59.42483152841195 -15.30766239757394, -59.24516847158805 -15.30766239757394))"
40057,-16.488,-54.669,100774,"POLYGON ((-54.57916847158804 -16.574118389556805, -54.57916847158804 -16.401843280951784, -54.758831528411946 -16.401843280951784, -54.758831528411946 -16.574118389556805, -54.57916847158804 -16.574118389556805))"
40069,-15.612,-56.168,880,"POLYGON ((-56.07816847158804 -15.69849902104209, -56.07816847158804 -15.525464473551642, -56.25783152841195 -15.525464473551642, -56.25783152841195 -15.69849902104209, -56.07816847158804 -15.69849902104209))"
40072,-15.613,-56.17,2640,"POLYGON ((-56.08016847158805 -15.699498598034863, -56.08016847158805 -15.526464894456797, -56.25983152841195 -15.526464894456797, -56.25983152841195 -15.699498598034863, -56.08016847158805 -15.699498598034863))"
